"Notes"	"Month Day, Year"	"Month Day, Year Code"	"State"	"State Code"	Avg Daily Max Air Temperature (F)
	"Jul 29, 1979"	"1979/07/29"	"Georgia"	"13"	89.97
"Total"	"Jul 29, 1979"	"1979/07/29"			89.97
	"Jul 30, 1979"	"1979/07/30"	"Georgia"	"13"	89.28
"Total"	"Jul 30, 1979"	"1979/07/30"			89.28
	"Jul 31, 1979"	"1979/07/31"	"Georgia"	"13"	90.49
"Total"	"Jul 31, 1979"	"1979/07/31"			90.49
	"Aug 01, 1979"	"1979/08/01"	"Georgia"	"13"	89.57
"Total"	"Aug 01, 1979"	"1979/08/01"			89.57
	"Aug 02, 1979"	"1979/08/02"	"Georgia"	"13"	87.79
"Total"	"Aug 02, 1979"	"1979/08/02"			87.79
	"Aug 03, 1979"	"1979/08/03"	"Georgia"	"13"	89.61
"Total"	"Aug 03, 1979"	"1979/08/03"			89.61
	"Aug 04, 1979"	"1979/08/04"	"Georgia"	"13"	90.12
"Total"	"Aug 04, 1979"	"1979/08/04"			90.12
	"Aug 05, 1979"	"1979/08/05"	"Georgia"	"13"	89.72
"Total"	"Aug 05, 1979"	"1979/08/05"			89.72
	"Aug 06, 1979"	"1979/08/06"	"Georgia"	"13"	91.30
"Total"	"Aug 06, 1979"	"1979/08/06"			91.30
	"Aug 07, 1979"	"1979/08/07"	"Georgia"	"13"	92.03
"Total"	"Aug 07, 1979"	"1979/08/07"			92.03
	"Aug 08, 1979"	"1979/08/08"	"Georgia"	"13"	92.17
"Total"	"Aug 08, 1979"	"1979/08/08"			92.17
	"Aug 09, 1979"	"1979/08/09"	"Georgia"	"13"	92.11
"Total"	"Aug 09, 1979"	"1979/08/09"			92.11
	"Aug 10, 1979"	"1979/08/10"	"Georgia"	"13"	87.52
"Total"	"Aug 10, 1979"	"1979/08/10"			87.52
	"Aug 11, 1979"	"1979/08/11"	"Georgia"	"13"	84.81
"Total"	"Aug 11, 1979"	"1979/08/11"			84.81
	"Aug 12, 1979"	"1979/08/12"	"Georgia"	"13"	84.31
"Total"	"Aug 12, 1979"	"1979/08/12"			84.31
	"Aug 13, 1979"	"1979/08/13"	"Georgia"	"13"	85.13
"Total"	"Aug 13, 1979"	"1979/08/13"			85.13
	"Aug 14, 1979"	"1979/08/14"	"Georgia"	"13"	86.84
"Total"	"Aug 14, 1979"	"1979/08/14"			86.84
	"Aug 15, 1979"	"1979/08/15"	"Georgia"	"13"	85.68
"Total"	"Aug 15, 1979"	"1979/08/15"			85.68
	"Aug 16, 1979"	"1979/08/16"	"Georgia"	"13"	79.62
"Total"	"Aug 16, 1979"	"1979/08/16"			79.62
	"Aug 17, 1979"	"1979/08/17"	"Georgia"	"13"	79.93
"Total"	"Aug 17, 1979"	"1979/08/17"			79.93
	"Aug 18, 1979"	"1979/08/18"	"Georgia"	"13"	85.83
"Total"	"Aug 18, 1979"	"1979/08/18"			85.83
	"Aug 19, 1979"	"1979/08/19"	"Georgia"	"13"	90.96
"Total"	"Aug 19, 1979"	"1979/08/19"			90.96
	"Aug 20, 1979"	"1979/08/20"	"Georgia"	"13"	92.98
"Total"	"Aug 20, 1979"	"1979/08/20"			92.98
	"Aug 21, 1979"	"1979/08/21"	"Georgia"	"13"	91.91
"Total"	"Aug 21, 1979"	"1979/08/21"			91.91
	"Aug 22, 1979"	"1979/08/22"	"Georgia"	"13"	88.89
"Total"	"Aug 22, 1979"	"1979/08/22"			88.89
	"Aug 23, 1979"	"1979/08/23"	"Georgia"	"13"	84.21
"Total"	"Aug 23, 1979"	"1979/08/23"			84.21
	"Aug 24, 1979"	"1979/08/24"	"Georgia"	"13"	84.37
"Total"	"Aug 24, 1979"	"1979/08/24"			84.37
	"Aug 25, 1979"	"1979/08/25"	"Georgia"	"13"	85.08
"Total"	"Aug 25, 1979"	"1979/08/25"			85.08
	"Aug 26, 1979"	"1979/08/26"	"Georgia"	"13"	85.90
"Total"	"Aug 26, 1979"	"1979/08/26"			85.90
	"Aug 27, 1979"	"1979/08/27"	"Georgia"	"13"	87.17
"Total"	"Aug 27, 1979"	"1979/08/27"			87.17
	"Aug 28, 1979"	"1979/08/28"	"Georgia"	"13"	85.33
"Total"	"Aug 28, 1979"	"1979/08/28"			85.33
	"Aug 29, 1979"	"1979/08/29"	"Georgia"	"13"	86.89
"Total"	"Aug 29, 1979"	"1979/08/29"			86.89
	"Aug 30, 1979"	"1979/08/30"	"Georgia"	"13"	88.62
"Total"	"Aug 30, 1979"	"1979/08/30"			88.62
	"Aug 31, 1979"	"1979/08/31"	"Georgia"	"13"	87.95
"Total"	"Aug 31, 1979"	"1979/08/31"			87.95
	"Sep 01, 1979"	"1979/09/01"	"Georgia"	"13"	84.85
"Total"	"Sep 01, 1979"	"1979/09/01"			84.85
	"Sep 02, 1979"	"1979/09/02"	"Georgia"	"13"	84.88
"Total"	"Sep 02, 1979"	"1979/09/02"			84.88
	"Sep 03, 1979"	"1979/09/03"	"Georgia"	"13"	85.43
"Total"	"Sep 03, 1979"	"1979/09/03"			85.43
	"Sep 04, 1979"	"1979/09/04"	"Georgia"	"13"	80.22
"Total"	"Sep 04, 1979"	"1979/09/04"			80.22
	"Sep 05, 1979"	"1979/09/05"	"Georgia"	"13"	87.23
"Total"	"Sep 05, 1979"	"1979/09/05"			87.23
	"Sep 06, 1979"	"1979/09/06"	"Georgia"	"13"	88.41
"Total"	"Sep 06, 1979"	"1979/09/06"			88.41
	"Sep 07, 1979"	"1979/09/07"	"Georgia"	"13"	87.52
"Total"	"Sep 07, 1979"	"1979/09/07"			87.52
	"Sep 08, 1979"	"1979/09/08"	"Georgia"	"13"	86.36
"Total"	"Sep 08, 1979"	"1979/09/08"			86.36
	"Sep 09, 1979"	"1979/09/09"	"Georgia"	"13"	83.00
"Total"	"Sep 09, 1979"	"1979/09/09"			83.00
	"Sep 10, 1979"	"1979/09/10"	"Georgia"	"13"	82.30
"Total"	"Sep 10, 1979"	"1979/09/10"			82.30
	"Sep 11, 1979"	"1979/09/11"	"Georgia"	"13"	84.28
"Total"	"Sep 11, 1979"	"1979/09/11"			84.28
	"Sep 12, 1979"	"1979/09/12"	"Georgia"	"13"	80.02
"Total"	"Sep 12, 1979"	"1979/09/12"			80.02
	"Sep 13, 1979"	"1979/09/13"	"Georgia"	"13"	83.00
"Total"	"Sep 13, 1979"	"1979/09/13"			83.00
	"Sep 14, 1979"	"1979/09/14"	"Georgia"	"13"	82.43
"Total"	"Sep 14, 1979"	"1979/09/14"			82.43
	"Sep 15, 1979"	"1979/09/15"	"Georgia"	"13"	80.78
"Total"	"Sep 15, 1979"	"1979/09/15"			80.78
	"Sep 16, 1979"	"1979/09/16"	"Georgia"	"13"	74.10
"Total"	"Sep 16, 1979"	"1979/09/16"			74.10
	"Sep 17, 1979"	"1979/09/17"	"Georgia"	"13"	72.62
"Total"	"Sep 17, 1979"	"1979/09/17"			72.62
	"Sep 18, 1979"	"1979/09/18"	"Georgia"	"13"	76.73
"Total"	"Sep 18, 1979"	"1979/09/18"			76.73
	"Sep 19, 1979"	"1979/09/19"	"Georgia"	"13"	83.05
"Total"	"Sep 19, 1979"	"1979/09/19"			83.05
	"Sep 20, 1979"	"1979/09/20"	"Georgia"	"13"	82.94
"Total"	"Sep 20, 1979"	"1979/09/20"			82.94
	"Sep 21, 1979"	"1979/09/21"	"Georgia"	"13"	80.90
"Total"	"Sep 21, 1979"	"1979/09/21"			80.90
	"Sep 22, 1979"	"1979/09/22"	"Georgia"	"13"	82.48
"Total"	"Sep 22, 1979"	"1979/09/22"			82.48
	"Sep 23, 1979"	"1979/09/23"	"Georgia"	"13"	77.68
"Total"	"Sep 23, 1979"	"1979/09/23"			77.68
	"Sep 24, 1979"	"1979/09/24"	"Georgia"	"13"	71.42
"Total"	"Sep 24, 1979"	"1979/09/24"			71.42
	"Sep 25, 1979"	"1979/09/25"	"Georgia"	"13"	71.99
"Total"	"Sep 25, 1979"	"1979/09/25"			71.99
	"Sep 26, 1979"	"1979/09/26"	"Georgia"	"13"	73.42
"Total"	"Sep 26, 1979"	"1979/09/26"			73.42
	"Sep 27, 1979"	"1979/09/27"	"Georgia"	"13"	77.55
"Total"	"Sep 27, 1979"	"1979/09/27"			77.55
	"Sep 28, 1979"	"1979/09/28"	"Georgia"	"13"	78.75
"Total"	"Sep 28, 1979"	"1979/09/28"			78.75
	"Sep 29, 1979"	"1979/09/29"	"Georgia"	"13"	81.49
"Total"	"Sep 29, 1979"	"1979/09/29"			81.49
	"Sep 30, 1979"	"1979/09/30"	"Georgia"	"13"	81.69
"Total"	"Sep 30, 1979"	"1979/09/30"			81.69
	"Oct 01, 1979"	"1979/10/01"	"Georgia"	"13"	83.89
"Total"	"Oct 01, 1979"	"1979/10/01"			83.89
	"Oct 02, 1979"	"1979/10/02"	"Georgia"	"13"	82.61
"Total"	"Oct 02, 1979"	"1979/10/02"			82.61
	"Oct 03, 1979"	"1979/10/03"	"Georgia"	"13"	76.28
"Total"	"Oct 03, 1979"	"1979/10/03"			76.28
	"Oct 04, 1979"	"1979/10/04"	"Georgia"	"13"	74.33
"Total"	"Oct 04, 1979"	"1979/10/04"			74.33
	"Oct 05, 1979"	"1979/10/05"	"Georgia"	"13"	67.54
"Total"	"Oct 05, 1979"	"1979/10/05"			67.54
	"Oct 06, 1979"	"1979/10/06"	"Georgia"	"13"	72.69
"Total"	"Oct 06, 1979"	"1979/10/06"			72.69
	"Oct 07, 1979"	"1979/10/07"	"Georgia"	"13"	73.20
"Total"	"Oct 07, 1979"	"1979/10/07"			73.20
	"Oct 08, 1979"	"1979/10/08"	"Georgia"	"13"	77.82
"Total"	"Oct 08, 1979"	"1979/10/08"			77.82
	"Oct 09, 1979"	"1979/10/09"	"Georgia"	"13"	80.50
"Total"	"Oct 09, 1979"	"1979/10/09"			80.50
	"Oct 10, 1979"	"1979/10/10"	"Georgia"	"13"	69.71
"Total"	"Oct 10, 1979"	"1979/10/10"			69.71
	"Oct 11, 1979"	"1979/10/11"	"Georgia"	"13"	67.40
"Total"	"Oct 11, 1979"	"1979/10/11"			67.40
	"Oct 12, 1979"	"1979/10/12"	"Georgia"	"13"	77.44
"Total"	"Oct 12, 1979"	"1979/10/12"			77.44
	"Oct 13, 1979"	"1979/10/13"	"Georgia"	"13"	76.46
"Total"	"Oct 13, 1979"	"1979/10/13"			76.46
	"Oct 14, 1979"	"1979/10/14"	"Georgia"	"13"	63.41
"Total"	"Oct 14, 1979"	"1979/10/14"			63.41
	"Oct 15, 1979"	"1979/10/15"	"Georgia"	"13"	70.05
"Total"	"Oct 15, 1979"	"1979/10/15"			70.05
	"Oct 16, 1979"	"1979/10/16"	"Georgia"	"13"	77.19
"Total"	"Oct 16, 1979"	"1979/10/16"			77.19
	"Oct 17, 1979"	"1979/10/17"	"Georgia"	"13"	79.33
"Total"	"Oct 17, 1979"	"1979/10/17"			79.33
	"Oct 18, 1979"	"1979/10/18"	"Georgia"	"13"	80.09
"Total"	"Oct 18, 1979"	"1979/10/18"			80.09
	"Oct 19, 1979"	"1979/10/19"	"Georgia"	"13"	79.76
"Total"	"Oct 19, 1979"	"1979/10/19"			79.76
	"Oct 20, 1979"	"1979/10/20"	"Georgia"	"13"	81.57
"Total"	"Oct 20, 1979"	"1979/10/20"			81.57
	"Oct 21, 1979"	"1979/10/21"	"Georgia"	"13"	82.57
"Total"	"Oct 21, 1979"	"1979/10/21"			82.57
	"Oct 22, 1979"	"1979/10/22"	"Georgia"	"13"	81.02
"Total"	"Oct 22, 1979"	"1979/10/22"			81.02
	"Oct 23, 1979"	"1979/10/23"	"Georgia"	"13"	74.20
"Total"	"Oct 23, 1979"	"1979/10/23"			74.20
	"Oct 24, 1979"	"1979/10/24"	"Georgia"	"13"	65.87
"Total"	"Oct 24, 1979"	"1979/10/24"			65.87
	"Oct 25, 1979"	"1979/10/25"	"Georgia"	"13"	67.40
"Total"	"Oct 25, 1979"	"1979/10/25"			67.40
	"Oct 26, 1979"	"1979/10/26"	"Georgia"	"13"	67.94
"Total"	"Oct 26, 1979"	"1979/10/26"			67.94
	"Oct 27, 1979"	"1979/10/27"	"Georgia"	"13"	69.84
"Total"	"Oct 27, 1979"	"1979/10/27"			69.84
	"Oct 28, 1979"	"1979/10/28"	"Georgia"	"13"	72.24
"Total"	"Oct 28, 1979"	"1979/10/28"			72.24
	"Oct 29, 1979"	"1979/10/29"	"Georgia"	"13"	74.50
"Total"	"Oct 29, 1979"	"1979/10/29"			74.50
	"Oct 30, 1979"	"1979/10/30"	"Georgia"	"13"	75.49
"Total"	"Oct 30, 1979"	"1979/10/30"			75.49
	"Oct 31, 1979"	"1979/10/31"	"Georgia"	"13"	76.57
"Total"	"Oct 31, 1979"	"1979/10/31"			76.57
	"Nov 01, 1979"	"1979/11/01"	"Georgia"	"13"	75.98
"Total"	"Nov 01, 1979"	"1979/11/01"			75.98
	"Nov 02, 1979"	"1979/11/02"	"Georgia"	"13"	74.47
"Total"	"Nov 02, 1979"	"1979/11/02"			74.47
	"Nov 03, 1979"	"1979/11/03"	"Georgia"	"13"	65.00
"Total"	"Nov 03, 1979"	"1979/11/03"			65.00
	"Nov 04, 1979"	"1979/11/04"	"Georgia"	"13"	59.38
"Total"	"Nov 04, 1979"	"1979/11/04"			59.38
	"Nov 05, 1979"	"1979/11/05"	"Georgia"	"13"	65.49
"Total"	"Nov 05, 1979"	"1979/11/05"			65.49
	"Nov 06, 1979"	"1979/11/06"	"Georgia"	"13"	66.85
"Total"	"Nov 06, 1979"	"1979/11/06"			66.85
	"Nov 07, 1979"	"1979/11/07"	"Georgia"	"13"	65.17
"Total"	"Nov 07, 1979"	"1979/11/07"			65.17
	"Nov 08, 1979"	"1979/11/08"	"Georgia"	"13"	65.99
"Total"	"Nov 08, 1979"	"1979/11/08"			65.99
	"Nov 09, 1979"	"1979/11/09"	"Georgia"	"13"	72.27
"Total"	"Nov 09, 1979"	"1979/11/09"			72.27
	"Nov 10, 1979"	"1979/11/10"	"Georgia"	"13"	74.23
"Total"	"Nov 10, 1979"	"1979/11/10"			74.23
	"Nov 11, 1979"	"1979/11/11"	"Georgia"	"13"	67.28
"Total"	"Nov 11, 1979"	"1979/11/11"			67.28
	"Nov 12, 1979"	"1979/11/12"	"Georgia"	"13"	68.05
"Total"	"Nov 12, 1979"	"1979/11/12"			68.05
	"Nov 13, 1979"	"1979/11/13"	"Georgia"	"13"	62.79
"Total"	"Nov 13, 1979"	"1979/11/13"			62.79
	"Nov 14, 1979"	"1979/11/14"	"Georgia"	"13"	55.92
"Total"	"Nov 14, 1979"	"1979/11/14"			55.92
	"Nov 15, 1979"	"1979/11/15"	"Georgia"	"13"	56.98
"Total"	"Nov 15, 1979"	"1979/11/15"			56.98
	"Nov 16, 1979"	"1979/11/16"	"Georgia"	"13"	63.71
"Total"	"Nov 16, 1979"	"1979/11/16"			63.71
	"Nov 17, 1979"	"1979/11/17"	"Georgia"	"13"	66.83
"Total"	"Nov 17, 1979"	"1979/11/17"			66.83
	"Nov 18, 1979"	"1979/11/18"	"Georgia"	"13"	65.60
"Total"	"Nov 18, 1979"	"1979/11/18"			65.60
	"Nov 19, 1979"	"1979/11/19"	"Georgia"	"13"	68.58
"Total"	"Nov 19, 1979"	"1979/11/19"			68.58
	"Nov 20, 1979"	"1979/11/20"	"Georgia"	"13"	72.33
"Total"	"Nov 20, 1979"	"1979/11/20"			72.33
	"Nov 21, 1979"	"1979/11/21"	"Georgia"	"13"	71.90
"Total"	"Nov 21, 1979"	"1979/11/21"			71.90
	"Nov 22, 1979"	"1979/11/22"	"Georgia"	"13"	73.53
"Total"	"Nov 22, 1979"	"1979/11/22"			73.53
	"Nov 23, 1979"	"1979/11/23"	"Georgia"	"13"	75.56
"Total"	"Nov 23, 1979"	"1979/11/23"			75.56
	"Nov 24, 1979"	"1979/11/24"	"Georgia"	"13"	72.51
"Total"	"Nov 24, 1979"	"1979/11/24"			72.51
	"Nov 25, 1979"	"1979/11/25"	"Georgia"	"13"	72.79
"Total"	"Nov 25, 1979"	"1979/11/25"			72.79
	"Nov 26, 1979"	"1979/11/26"	"Georgia"	"13"	65.25
"Total"	"Nov 26, 1979"	"1979/11/26"			65.25
	"Nov 27, 1979"	"1979/11/27"	"Georgia"	"13"	66.99
"Total"	"Nov 27, 1979"	"1979/11/27"			66.99
	"Nov 28, 1979"	"1979/11/28"	"Georgia"	"13"	65.16
"Total"	"Nov 28, 1979"	"1979/11/28"			65.16
	"Nov 29, 1979"	"1979/11/29"	"Georgia"	"13"	45.35
"Total"	"Nov 29, 1979"	"1979/11/29"			45.35
	"Nov 30, 1979"	"1979/11/30"	"Georgia"	"13"	41.21
"Total"	"Nov 30, 1979"	"1979/11/30"			41.21
	"Dec 01, 1979"	"1979/12/01"	"Georgia"	"13"	47.25
"Total"	"Dec 01, 1979"	"1979/12/01"			47.25
	"Dec 02, 1979"	"1979/12/02"	"Georgia"	"13"	44.77
"Total"	"Dec 02, 1979"	"1979/12/02"			44.77
	"Dec 03, 1979"	"1979/12/03"	"Georgia"	"13"	45.80
"Total"	"Dec 03, 1979"	"1979/12/03"			45.80
	"Dec 04, 1979"	"1979/12/04"	"Georgia"	"13"	53.30
"Total"	"Dec 04, 1979"	"1979/12/04"			53.30
	"Dec 05, 1979"	"1979/12/05"	"Georgia"	"13"	59.39
"Total"	"Dec 05, 1979"	"1979/12/05"			59.39
	"Dec 06, 1979"	"1979/12/06"	"Georgia"	"13"	60.43
"Total"	"Dec 06, 1979"	"1979/12/06"			60.43
	"Dec 07, 1979"	"1979/12/07"	"Georgia"	"13"	62.03
"Total"	"Dec 07, 1979"	"1979/12/07"			62.03
	"Dec 08, 1979"	"1979/12/08"	"Georgia"	"13"	57.44
"Total"	"Dec 08, 1979"	"1979/12/08"			57.44
	"Dec 09, 1979"	"1979/12/09"	"Georgia"	"13"	55.79
"Total"	"Dec 09, 1979"	"1979/12/09"			55.79
	"Dec 10, 1979"	"1979/12/10"	"Georgia"	"13"	62.01
"Total"	"Dec 10, 1979"	"1979/12/10"			62.01
	"Dec 11, 1979"	"1979/12/11"	"Georgia"	"13"	68.93
"Total"	"Dec 11, 1979"	"1979/12/11"			68.93
	"Dec 12, 1979"	"1979/12/12"	"Georgia"	"13"	70.49
"Total"	"Dec 12, 1979"	"1979/12/12"			70.49
	"Dec 13, 1979"	"1979/12/13"	"Georgia"	"13"	70.71
"Total"	"Dec 13, 1979"	"1979/12/13"			70.71
	"Dec 14, 1979"	"1979/12/14"	"Georgia"	"13"	61.33
"Total"	"Dec 14, 1979"	"1979/12/14"			61.33
	"Dec 15, 1979"	"1979/12/15"	"Georgia"	"13"	50.14
"Total"	"Dec 15, 1979"	"1979/12/15"			50.14
	"Dec 16, 1979"	"1979/12/16"	"Georgia"	"13"	54.99
"Total"	"Dec 16, 1979"	"1979/12/16"			54.99
	"Dec 17, 1979"	"1979/12/17"	"Georgia"	"13"	48.27
"Total"	"Dec 17, 1979"	"1979/12/17"			48.27
	"Dec 18, 1979"	"1979/12/18"	"Georgia"	"13"	47.44
"Total"	"Dec 18, 1979"	"1979/12/18"			47.44
	"Dec 19, 1979"	"1979/12/19"	"Georgia"	"13"	53.35
"Total"	"Dec 19, 1979"	"1979/12/19"			53.35
	"Dec 20, 1979"	"1979/12/20"	"Georgia"	"13"	55.52
"Total"	"Dec 20, 1979"	"1979/12/20"			55.52
	"Dec 21, 1979"	"1979/12/21"	"Georgia"	"13"	55.28
"Total"	"Dec 21, 1979"	"1979/12/21"			55.28
	"Dec 22, 1979"	"1979/12/22"	"Georgia"	"13"	58.75
"Total"	"Dec 22, 1979"	"1979/12/22"			58.75
	"Dec 23, 1979"	"1979/12/23"	"Georgia"	"13"	63.86
"Total"	"Dec 23, 1979"	"1979/12/23"			63.86
	"Dec 24, 1979"	"1979/12/24"	"Georgia"	"13"	65.37
"Total"	"Dec 24, 1979"	"1979/12/24"			65.37
	"Dec 25, 1979"	"1979/12/25"	"Georgia"	"13"	50.90
"Total"	"Dec 25, 1979"	"1979/12/25"			50.90
	"Dec 26, 1979"	"1979/12/26"	"Georgia"	"13"	55.73
"Total"	"Dec 26, 1979"	"1979/12/26"			55.73
	"Dec 27, 1979"	"1979/12/27"	"Georgia"	"13"	59.48
"Total"	"Dec 27, 1979"	"1979/12/27"			59.48
	"Dec 28, 1979"	"1979/12/28"	"Georgia"	"13"	58.01
"Total"	"Dec 28, 1979"	"1979/12/28"			58.01
	"Dec 29, 1979"	"1979/12/29"	"Georgia"	"13"	60.04
"Total"	"Dec 29, 1979"	"1979/12/29"			60.04
	"Dec 30, 1979"	"1979/12/30"	"Georgia"	"13"	58.72
"Total"	"Dec 30, 1979"	"1979/12/30"			58.72
	"Dec 31, 1979"	"1979/12/31"	"Georgia"	"13"	58.72
"Total"	"Dec 31, 1979"	"1979/12/31"			58.72
	"Jan 01, 1980"	"1980/01/01"	"Georgia"	"13"	46.03
"Total"	"Jan 01, 1980"	"1980/01/01"			46.03
	"Jan 02, 1980"	"1980/01/02"	"Georgia"	"13"	52.94
"Total"	"Jan 02, 1980"	"1980/01/02"			52.94
	"Jan 03, 1980"	"1980/01/03"	"Georgia"	"13"	55.86
"Total"	"Jan 03, 1980"	"1980/01/03"			55.86
	"Jan 04, 1980"	"1980/01/04"	"Georgia"	"13"	51.66
"Total"	"Jan 04, 1980"	"1980/01/04"			51.66
	"Jan 05, 1980"	"1980/01/05"	"Georgia"	"13"	42.92
"Total"	"Jan 05, 1980"	"1980/01/05"			42.92
	"Jan 06, 1980"	"1980/01/06"	"Georgia"	"13"	43.54
"Total"	"Jan 06, 1980"	"1980/01/06"			43.54
	"Jan 07, 1980"	"1980/01/07"	"Georgia"	"13"	50.66
"Total"	"Jan 07, 1980"	"1980/01/07"			50.66
	"Jan 08, 1980"	"1980/01/08"	"Georgia"	"13"	61.90
"Total"	"Jan 08, 1980"	"1980/01/08"			61.90
	"Jan 09, 1980"	"1980/01/09"	"Georgia"	"13"	63.46
"Total"	"Jan 09, 1980"	"1980/01/09"			63.46
	"Jan 10, 1980"	"1980/01/10"	"Georgia"	"13"	58.35
"Total"	"Jan 10, 1980"	"1980/01/10"			58.35
	"Jan 11, 1980"	"1980/01/11"	"Georgia"	"13"	66.39
"Total"	"Jan 11, 1980"	"1980/01/11"			66.39
	"Jan 12, 1980"	"1980/01/12"	"Georgia"	"13"	58.11
"Total"	"Jan 12, 1980"	"1980/01/12"			58.11
	"Jan 13, 1980"	"1980/01/13"	"Georgia"	"13"	50.79
"Total"	"Jan 13, 1980"	"1980/01/13"			50.79
	"Jan 14, 1980"	"1980/01/14"	"Georgia"	"13"	56.54
"Total"	"Jan 14, 1980"	"1980/01/14"			56.54
	"Jan 15, 1980"	"1980/01/15"	"Georgia"	"13"	60.21
"Total"	"Jan 15, 1980"	"1980/01/15"			60.21
	"Jan 16, 1980"	"1980/01/16"	"Georgia"	"13"	64.80
"Total"	"Jan 16, 1980"	"1980/01/16"			64.80
	"Jan 17, 1980"	"1980/01/17"	"Georgia"	"13"	64.10
"Total"	"Jan 17, 1980"	"1980/01/17"			64.10
	"Jan 18, 1980"	"1980/01/18"	"Georgia"	"13"	67.22
"Total"	"Jan 18, 1980"	"1980/01/18"			67.22
	"Jan 19, 1980"	"1980/01/19"	"Georgia"	"13"	64.01
"Total"	"Jan 19, 1980"	"1980/01/19"			64.01
	"Jan 20, 1980"	"1980/01/20"	"Georgia"	"13"	64.32
"Total"	"Jan 20, 1980"	"1980/01/20"			64.32
	"Jan 21, 1980"	"1980/01/21"	"Georgia"	"13"	61.42
"Total"	"Jan 21, 1980"	"1980/01/21"			61.42
	"Jan 22, 1980"	"1980/01/22"	"Georgia"	"13"	61.58
"Total"	"Jan 22, 1980"	"1980/01/22"			61.58
	"Jan 23, 1980"	"1980/01/23"	"Georgia"	"13"	57.07
"Total"	"Jan 23, 1980"	"1980/01/23"			57.07
	"Jan 24, 1980"	"1980/01/24"	"Georgia"	"13"	51.74
"Total"	"Jan 24, 1980"	"1980/01/24"			51.74
	"Jan 25, 1980"	"1980/01/25"	"Georgia"	"13"	58.85
"Total"	"Jan 25, 1980"	"1980/01/25"			58.85
	"Jan 26, 1980"	"1980/01/26"	"Georgia"	"13"	54.59
"Total"	"Jan 26, 1980"	"1980/01/26"			54.59
	"Jan 27, 1980"	"1980/01/27"	"Georgia"	"13"	57.22
"Total"	"Jan 27, 1980"	"1980/01/27"			57.22
	"Jan 28, 1980"	"1980/01/28"	"Georgia"	"13"	54.99
"Total"	"Jan 28, 1980"	"1980/01/28"			54.99
	"Jan 29, 1980"	"1980/01/29"	"Georgia"	"13"	50.25
"Total"	"Jan 29, 1980"	"1980/01/29"			50.25
	"Jan 30, 1980"	"1980/01/30"	"Georgia"	"13"	51.14
"Total"	"Jan 30, 1980"	"1980/01/30"			51.14
	"Jan 31, 1980"	"1980/01/31"	"Georgia"	"13"	49.49
"Total"	"Jan 31, 1980"	"1980/01/31"			49.49
	"Feb 01, 1980"	"1980/02/01"	"Georgia"	"13"	34.23
"Total"	"Feb 01, 1980"	"1980/02/01"			34.23
	"Feb 02, 1980"	"1980/02/02"	"Georgia"	"13"	38.24
"Total"	"Feb 02, 1980"	"1980/02/02"			38.24
	"Feb 03, 1980"	"1980/02/03"	"Georgia"	"13"	38.20
"Total"	"Feb 03, 1980"	"1980/02/03"			38.20
	"Feb 04, 1980"	"1980/02/04"	"Georgia"	"13"	42.52
"Total"	"Feb 04, 1980"	"1980/02/04"			42.52
	"Feb 05, 1980"	"1980/02/05"	"Georgia"	"13"	42.43
"Total"	"Feb 05, 1980"	"1980/02/05"			42.43
	"Feb 06, 1980"	"1980/02/06"	"Georgia"	"13"	48.00
"Total"	"Feb 06, 1980"	"1980/02/06"			48.00
	"Feb 07, 1980"	"1980/02/07"	"Georgia"	"13"	44.60
"Total"	"Feb 07, 1980"	"1980/02/07"			44.60
	"Feb 08, 1980"	"1980/02/08"	"Georgia"	"13"	50.33
"Total"	"Feb 08, 1980"	"1980/02/08"			50.33
	"Feb 09, 1980"	"1980/02/09"	"Georgia"	"13"	49.90
"Total"	"Feb 09, 1980"	"1980/02/09"			49.90
	"Feb 10, 1980"	"1980/02/10"	"Georgia"	"13"	48.73
"Total"	"Feb 10, 1980"	"1980/02/10"			48.73
	"Feb 11, 1980"	"1980/02/11"	"Georgia"	"13"	48.91
"Total"	"Feb 11, 1980"	"1980/02/11"			48.91
	"Feb 12, 1980"	"1980/02/12"	"Georgia"	"13"	48.98
"Total"	"Feb 12, 1980"	"1980/02/12"			48.98
	"Feb 13, 1980"	"1980/02/13"	"Georgia"	"13"	52.62
"Total"	"Feb 13, 1980"	"1980/02/13"			52.62
	"Feb 14, 1980"	"1980/02/14"	"Georgia"	"13"	59.48
"Total"	"Feb 14, 1980"	"1980/02/14"			59.48
	"Feb 15, 1980"	"1980/02/15"	"Georgia"	"13"	61.14
"Total"	"Feb 15, 1980"	"1980/02/15"			61.14
	"Feb 16, 1980"	"1980/02/16"	"Georgia"	"13"	62.22
"Total"	"Feb 16, 1980"	"1980/02/16"			62.22
	"Feb 17, 1980"	"1980/02/17"	"Georgia"	"13"	43.71
"Total"	"Feb 17, 1980"	"1980/02/17"			43.71
	"Feb 18, 1980"	"1980/02/18"	"Georgia"	"13"	50.84
"Total"	"Feb 18, 1980"	"1980/02/18"			50.84
	"Feb 19, 1980"	"1980/02/19"	"Georgia"	"13"	57.78
"Total"	"Feb 19, 1980"	"1980/02/19"			57.78
	"Feb 20, 1980"	"1980/02/20"	"Georgia"	"13"	63.68
"Total"	"Feb 20, 1980"	"1980/02/20"			63.68
	"Feb 21, 1980"	"1980/02/21"	"Georgia"	"13"	74.92
"Total"	"Feb 21, 1980"	"1980/02/21"			74.92
